ID;Municipio;Departamento;Norte;Este
CART;Cartagena;Bolívar;2707376.998;4722665.816
CASI;Caucasia;Antioquia;2441407.429;4757590.912
CCCP;Tumaco;Nariño;1760147.603;4362035.169
CHPR;Chaparral;Tolima;1969344.782;4725247.185
CIA1;Palmira;Valle del Cauca;1946007.84;4627032.683
CIOH;Cartagena;Bolívar;2707319.758;4722661.957
CMBI;Cumbitara;Nariño;1741159.163;4490280.094
CMNI;Curumaní;Cesar;2574864.793;4941625.464
CN35;Providencia;"Archipiélago De San Andrés; Providencia Y Santa";3051529.469;4091956.878
CN37;Santa Catalina;Bolívar;2751532.17;4752629.656
COLH;Colombia;Huila;1948332.837;4809189.084
COLN;Colón;Putumayo;1689090.629;4557457.23
CORO;Corozal;Sucre;2589575.234;4748800.404
CPAS;Calarcá;Quindío;2052675.413;4716607.505
CUC1;Cúcuta;Norte de Santander;2434541.045;5053675.545
CUCU;Cúcuta;Norte de Santander;2430807.275;5056420.694
DAGA;Dagua;Valle del Cauca;1972026.583;4591286.809
DICA;Barranquilla;Atlántico;2778585.686;4800855.734
DORA;La Dorada;Caldas;2160894.618;4815795.364
EBPT;El Bagre;Antioquia;2397294.763;4802435.64
EBRD;Patía;Cauca;1778409.009;4543715.519
ESPN;Espinal;Tolima;2017145.173;4790613.831
FIDE;Riohacha;La Guajira;2801487.153;5013517.54
FQNE;Fúquene;Cundinamarca;2162181.694;4918634.086
GARA;Garagoa;Boyacá;2119490.784;4960108.945
GGUE;Magangué;Bolívar;2579496.669;4806743.291
GUAP;Guapi;Cauca;1843541.731;4455443.955
GVRE;San José del Guaviare;Guaviare;1842188.22;5039870.468
HITU;Ituango;Antioquia;2340030.162;4703104.138
IBAG;Ibagué;Tolima;2047662.355;4754324.903
INIR;Inírida;Guainía;1986904.392;5563860.548
INOB;Obando;Valle del Cauca;2066398.403;4670788.112
INRI;Balboa;Risaralda;2101087.524;4678783.272
INSJ;San José;Caldas;2114676.351;4683591.876
INTO;Toro;Valle del Cauca;2071686.082;4662495.469
INVE;Santa Marta;Magdalena;2794615.666;4865565.836
LAB1;Pitalito;Huila;1763327.966;4656134.706
LBNO;Libano;Tolima;2102043.723;4771424.039
LEDE;La Cruz;Nariño;1731537.164;4560334.78
LETA;Leticia;Amazonas;1091768.539;5339281.866
LIPA;Arauquita;Arauca;2308492.975;5218162.432
MAKA;Soata;Boyacá;2258203.59;5037366.038
MEDE;Medellín;Antioquia;2243716.435;4714717.664
MGUI;Magüí Payán;Nariño;1753647.087;4423210.282
MITU;Mitú;Vaupés;1697512.032;5307918.182
MJGL;Majagual;Sucre;2502294.216;4821065.662
MORA;Pailitas;Cesar;2548031.872;4924947.242
MOTE;Montería;Córdoba;2530714.492;4685395.473
MZAL;Manizales;Caldas;2114324.947;4726169.547
NEVA;Neiva;Huila;1882843.97;4745209.827
NRSI;Norosí;Bolívar;2501474.452;4886140.031
OAMU;Villa de Leyva;Boyacá;2182035.869;4938228.423
OCEL;Puerto Gaitán;Meta;2030101.586;5153553.878
ORIT;Orito;Putumayo;1631683.76;4568502.774
OVEJ;Ovejas;Sucre;2611749.486;4755537.653
OVSC;Pasto;Nariño;1692131.001;4526199.07
PAL2;Lebrija;Santander;2345971.733;4979671.61
PAMP;Pamplona;Norte de Santander;2373957.71;5038855.06
PASI;Puerto Asís;Putumayo;1614810.937;4610531.864
PATU;Paipa;Boyacá;2192978.635;4986091.736
PERA;Pereira;Risaralda;2088150.028;4701774.92
PGTN;Puerto Gaitán;Meta;2035480.78;5100651.957
PGUZ;Puerto Guzman;Putumayo;1665169.241;4621148.464
PINI;Pinillos;Bolívar;2543366.419;4839680.357
PLTR;Manizales;Caldas;2115798;4741526.517
POPA;Popayán;Cauca;1828517.797;4599533.426
POVA;Popayán;Cauca;1829183.307;4598027.686
PRVA;La Primavera;Vichada;2164363.963;5286018.351
PSTO;Pasto;Nariño;1692303.104;4523919.212
PTIA;Patia;Cauca;1776579.444;4541643.014
PUBE;Pueblo Bello;Cesar;2709757.095;4937141.648
PUIN;Inírida;Guainía;1985254.316;5566377.671
PULE;Puerto Lleras;Meta;1917553.572;4956092.332
PWIL;Puerto Wilches;Santander;2421528.889;4917052.358
QUIB;Quibdó;Choco;2189084.435;4594986.388
QUIL;Chachagüí;Nariño;1712494.571;4522407.09
RIOH;Riohacha;La Guajira;2830270.509;5014203.445
RSLA;Santa Rosalía;Vichada;2115977.673;5252403.363
RUBI;Puerto Gaitán;Meta;1977331.982;5174965.849
SAMA;Santa Marta;Magdalena;2798699.73;4870460.182
SAN0;San Andrés;"Archipiélago De San Andrés; Providencia Y Santa";2964055.902;4050329.984
SARO;Santa Rosa;Cauca;1746866.491;4602485.328
SDTA;Sardinata;Norte de Santander;2451221.264;5021774.81
